Alpha,Max_iter,MSE
0.32968003422902664,0.0030139310804429935,3.137512235247532e-13
0.4646275593680546,1e-06,3.137512235247532e-13
0.3610554422354467,0.0008706510492757545,2.4412556501376654e-14
0.3816012497998349,0.0005032745714074634,9.200195553246547e-15
0.3578130201159321,0.00033391255029277555,6.534801608557313e-15
0.37362729479123613,1e-06,6.534801608557313e-15
0.4240154338450746,0.00038583999744955103,6.372369907688173e-15
0.41937317992296874,0.000416125242488012,6.294909093677165e-15
0.4170520529619158,0.0004312678650072425,6.027415277796106e-15
0.4158914894813893,0.0004388391762668577,6.027415277796106e-15
